problem,baseline,ex_affeq_direct_HW_efficient_n6,ex_affeq_direct_all_efficient_n6,ex_affeq_direct_conn_efficient_n6,ex_affeq_direct_n6,ex_affeq_direct_twoway_efficient_n6
0001_rand,0.01,57.78,13.97,74.53,84.58,54.62
0002_sat,0.011000000000000001,346.09,900.1,1949.17,793.41,1740.76
0003_rand,0.006,707.06,1051.68,2121.34,2566.1,2606.96
0004_sat,0.017,661.35,206.72,994.8,290.75,989.5
0005_rand,0.005,0.03,0.05,184.96,226.48,156.39
0006_sat,0.009000000000000001,203.51,103.26,985.86,880.33,596.91
0007_rand,0.005,0.04,0.04,802.29,645.09,857.35
0008_sat,0.023,143.49,63.14,446.24,290.82,1041.87
0009_rand,0.006999999999999999,906.11,372.8,1301.05,1085.97,1413.42
0010_sat,0.018000000000000002,41.36,113.03,102.9,30.35,53.04
0011_rand,0.006,0.03,0.05,1860.18,2076.98,1860.62
0012_sat,0.013999999999999999,309.06,362.37,370.97,521.49,695.07
0013_rand,0.005,0.04,0.05,1427.85,1438.53,1031.06
0014_sat,0.040999999999999995,101.97,167.14,208.88,761.81,38.22
0015_rand,0.006,0.03,0.05,1925.0,1254.84,1746.25
0016_sat,0.009000000000000001,206.08,729.28,544.69,1096.98,915.84
0017_rand,0.006999999999999999,0.03,0.06,2146.95,1754.6,2609.67
0018_sat,0.01,98.19,347.42,289.48,580.36,371.89
0019_rand,0.006,1323.5,646.96,2748.49,2038.3,3081.75
0020_sat,0.011000000000000001,611.33,33.7,,1419.19,1535.44
0021_rand,0.005,0.03,0.09,1636.83,1610.02,1830.45
0022_sat,0.105,392.59,92.62,90.05,1574.34,1629.04
0023_rand,0.008,0.02,0.05,1220.85,1105.38,1032.44
0024_sat,0.008,73.95,37.4,512.45,971.95,453.53
0025_rand,0.006,0.04,0.07,2486.41,2125.06,3173.16
0026_sat,0.016,618.31,46.04,1466.76,604.03,932.93
0027_rand,0.006999999999999999,820.13,780.67,1768.05,1681.15,1894.54
0028_sat,0.01,1852.2,639.27,2765.41,1768.09,2641.73
0029_rand,0.008,1785.42,211.84,2196.93,1998.83,2561.95
0030_sat,0.96,1404.68,241.1,551.3,124.6,145.15
0031_rand,0.006999999999999999,0.03,0.05,1492.91,1700.98,1916.61
0032_sat,0.009000000000000001,304.9,993.69,701.05,1956.9,
0033_rand,0.006,932.91,568.37,2554.28,1664.84,2197.82
